심슨 가족, 더 무비
1,솔직히 재미없음...
9,심슨 특유의 유머 풀가동! 도무지 미워할 래야 미워할 수가 없는 심슨 가족
10,졸라 웃겨 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10,몸개그가 작살이다.망치장도리가 눈에박히고 OO를유감없이 날리는ㅋㅋ
10,그냥 막 웃고싶을때 좋은영화~
8,TV보다 촌철살인은 덜하지만 영화판답게 확실히 업그레이드 된 애니..역시 심슨!!!
10,역시 심슨가족. 그냥 만화가아니고 영화다
9,그냥 볼만하던데 다운받아서봣지만 ㅎㅎ
10,터져나오는 웃음을 막을 수 없었다. 올해 최고의 코미디!!
7,으아.... 역시나 호머는 사고뭉치.-_-ㅋㅋ
10,편안하게 재미를 느낄 수 있는
10,역시나..
1,TV판이 낫다.......잼없다
9,그냥 웃어라. 그것뿐이다
10,이거 재밌음
6,돈주고 보기엔 좀.. 아까운듯. 그래도 중간중간에 재밋다!
10,엔돌핀이 마구마구 솟는 영화ㅋㅋ
8,블랙 코메디. 풍자. 슬랩스틱.. 코메디의 모든것이 있다.
10,ㅋㅋ 이거 돼지가 마지심슨 따라하는거졸라웃겨 ㅋㅋ
10,ㅋㅋㅋㅋ아 심슨넘웃겨ㅋㅋㅋㅋㅋㅋ
8,ㅋㅋ초반엔 피식 중반엔 ㅎㅎ후반엔 엥? ㅋㅋㅋㅋ
1,돈 아까워
5,재미있는대화들
8,TV선 가끔 지루한데 영화판은 지루함없이'흐흐'소리내며 웃음.추천!
8,'완벽' 하게 우끼진 않을지라도 그래도 역시 심슨가족이다 ㅎㅎㅎ
10,재밌음ㅋㅋㅋ
10,초재밌음 ㅎㅎㅎㅎㅎㅎㅎ
10,미친듯이 웃었다 사랑한다 호머
8,TV시리즈 극장가서 봐주는 호구들은 참 착해.
10,전니 재밌다 ㅋㅋㅋㅋㅋ
6,퀄리티는 높으나 우리나라정서랑은 아직 맞지 않는것같다.가시가듬뿍담긴애니
8,블랙코미디구만..ㅋㅋ재밌네..봐줄만 해.ㅋㅋ
8,ㅋㅋ재밌어요. 근데 부디 인터넷으로 보시길... 극장가서 보는 건 비추
6,날이 갈수록........
9,최고다.돈내고 보기엔 런닝타임이..
10,다운받아 봤는데 존나 웃기다
10,왠만한 코미디영화보다 훨 웃기다 스토리도 하나도 안유치하고
9,ㅋㅋ 배터지게 웃었따 ㅋㅋ
10,역시 블랙코미디의 대가답소!! 웃겨죽는 줄 알았네.
10,진짜 욱김 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
9,스파이더 피그 스파이더 피그~ ㅋㅋ 난 재미있든데 ㅋㅋ 호머심슨 최고
10,아 웃겨 죽어 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10,아놔 너무웃겨서 배아품 ㅋㅋㅋ
10,역시 심슨 ㅋㅋㅋ 돈내고 봐야 웃긴 영화 ㅋㅋㅋㅋ
6,심슨은 블랙성인코미디보는 재미인데 너무 가족영화에만 치중해서 실망ㅡㅡ
7,심슨가족의 매력은 어디가지않았지만,영화화에 많은기대를 해서그런가..무난함
10,웃겨죽는줄..ㅋㅋㅋㅋ 진짜 잼있듬!!!乃
5,예고편이전부
10,최고
10,별1개준사람 = 두뇌지수별1개. 이게 별1개라니 말되나.
10,close to you 들으면서 울다가 그쳤다,ㅋ
1,이게바로 쓰레기지
10,이게바로  에니메이션이지! ㅋ
8,잼있다..ㅋㅋ
10,불법으로봤지만...어쨌든 전세계최고의애니!!!너무웃김!!텍사스사투리 ㅋㅋ
10,최고다
9,벌써 나왓던데 ㅡㅡㅋ 재미잇엇습니다. 오토바이로 돔 올라가서 ㅋㅋ
10,잘봤다 잼있지만 뭔가 아쉬운건 왜 일까?
10,재미있게 봤습니다. ^-^
10,재밌는데 중간에 약간 지루한 감도 있음.. 하지만 역시 심슨! ㅋㅋ
10,재밋네 ㅋㅋㅋ
10,난 졸라 웃기던데
10,극장가서 볼걸그랬다 ㅎㅎ
10,진짜 잼있게 봄
10,정말 웃김...절로 미소가... ㅋㅋㅋ
10,어제 봤는데 생각만해도 웃겨... 진짜 개쩐다 쩔어..ㅋㅋ
10,싀바 스파이더피그 ㅋㅋㅋㅋ개쩐다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ스파이더피그가짱
10,스파이더 피그~ 스파이더 피그~ ㅋㅋㅋ
9,역시 심슨!!!!!!! 독특한 발상속 담백한 풍자
10,오 ㅋㅋ 코미디 정말 좋았어 . 어른들한테는 저질 이겟지만;;
10,it was realy awesome u guys should watch
9,ㅋㅋㅋ실망시키지않아
10,아 미친다.. 웃겨 죽는줄 알았음ㅋㅋ 인크레더블 이후 최고!
10,짱ㅉㅉㅉㅉㅉㅉㅉㅉㅉㅉㅉㅉㅉㅉㅉㅉㅉㅉ장~~~~ 재미있습니당~
10,보면알아ㅋㅋㅋㅋㅋ
9,ㅋㅋㅋㅋㅋㅋㅋㅋ 웃겨!
1,미국식 개그는 한국에서 안먹히는구나를 절실히 깨달은 영화다
6,그냥 난 심슨을 좋아하니까. 그거말고는 뭐.
10,아 완전. 재밌다 돈주고 봐도 아깝지않은 tv만화 ㅋㅋ
10,기대 이상 ㅋㅋㅋ 극장가서 다시 볼 생각. 심슨가족의 마스터피스.
7,심하게 재밌진 않지만...역시 최고의 만화...
8,심슨 특유의 코믹함이 살아있지만...짱구 극장판이 왜 보고싶어지는지;;
9,뭔가 부족했지만 역시 심슨은 최고^^
9,tv판을 그대로 영화로 옮겨놓은 느낌. 아쉬운건 도넛이 비중있게 출현하지 않은점..
10,어둠의경로를 통했지만 엄청 재미있었다 ㅎㅎ
10,말이필요없다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10,2007년 영화중 최고!
1,소문난 잔치에 먹을게 없다는 말이 맞는듯...
10,심슨이 최고다 드래곤볼도 못이긴다
10,난 웃겼다 . 재밌다 ..초딩에서 중3 까지 는 아마 웃을수 있는 영화다
5,심슨팬으로서 최악의 영화 20분짜리물을 억지로 83분으로 늘린 영화
10,영화 ㅤㅂㅘㅅ는데 좋더라구요 역시 호머 심슨이라는 생각. 개그요소가 재밋다고할까
8,다운받아서 봤는데.. 뭐 내용은 없구 단순히 오락영화로 치면 좋음
10,웃겨죽는다.ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
8,뭐가 허접했짐만 재밌었고 마지막의 훈훈한 이야기 였따 ㅋㅋ
7,방금 다운받아서 봤는데... 별로 웃기진않음
10,역시 심슨이다. 말도 안되는 억지개그 ㅋㅋ
7,오~호 생각보다 평이높넹 그냥그랬던영화같은뎅 ㅋㅋ
7,음 뭔가 허젼했다  좀 억지
10,ㅋㅋㅋㅋ빨리보구싶다
10,아무생각없이웃을수있다!도전하시라
10,정말 재밌고 웃기고 심슨 안보던 사람도 재밌게 볼수있음
10,아직 개봉도 안했거든요 --;
10,재밌어요ㅋㅋ  중간에 한국어도 나오고
10,완전 사랑한다. 100점을 주고 싶다!
1,항상 그렇듯 빈수레가 가장 요란하다
10,최고였다 ㅋ
8,나름 주제 의식이 있고 잼나네요
7,너무기대해서그런지.심슨티비시리즈볼때의재미 딱 그정도
8,심슨 다웠어 , 너무 재미있었다
5,예고편만 재밌지 막상 보면 결론없는 영화다.
6,솔직히 실망... 뭔 환경관한거만나오고 별로 재미없음
10,넘 재미있었어효 >ㅅ<
10,1시간20분동안 볼수있는 만화였다는것만으로도 아주 큰 점수를 준다 ㅋㅋ
10,역시 심슨. 두 말할 필요가 없다.
10,강추! 재미있고 좋다. ㅎㅎ
10,나는 관대하므로 네티즌평점이 8.87점에서 8.88점 으로 되었다
10,심슨은 날 실망 시키지 않았따!!!!!!!
10,심슨매니아들에게는 최고의 선물 영화보는 내내 유쾌함을 느꼇다
10,이거 진짜 졸라웃겨요
10,아 완전웃겨 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10,미국 문화의 보편성. 미국 영화 패러디를 이해하게 되다니
10,아 진짜 웃겨 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10,솔직히 재밌다
9,역시 심슨 아 정말 웃겼다
10,최고!
8,역시 심슨 이라는 말이 나올 정도로 웃긴 장면도 많았지만 엔딩이 유치
10,10점 만점 진짜 재미있어요 ! ㅋㅋ
10,좋은데
6,봤는데 별루
10,티비시리즈와 큰 차이 없다. 그래서 만점!!!  ㅋ~
9,후훗,,이런만화인줄몰랏네.기대이상..ㅎ
8,TV판이 더 낳은것같다 웃음보다는 교훈위주;;
10,세계는 미쿡문화가 지배했군 -ㅅ-;;
8,쩝 보니까 재미있기는 한데요 너무 짧아요 ㅠㅠ
10,달려달려 점프점프 착지착지가 특히 재미있슴..ㅋㅋ
10,재밋다 다운받아서 보세요
10,좋다 ㅋㅋㅋ
10,가장 심슨스러운 심슨가족이였음...뜨욱
10,디워도 재밌지만, 난 이걸 개인적으로 재밌게 봤다는~
10,역시 심슨 ㅋㅋ 넘 재밌게 봤습니다^^
5,앞부분이 답답할정도로 무슨내용인지 알수가 없다.뒤에는 쫌 이해가 감.
8,역시 심슨이다...
7,내가봤는데 티비랑 별판 다를꼐없다
10,인터넷에 쫙 깔렸는데 ㅡㅡㅋㅋㅋㅋㅋㅋ
10,아직 개봉안헀는데 니들 어디서 봤어?
10,봣는데 30분짜리가났더라 ㅋㅋ 두번이상치면OOO다? 존나웃겨 그것만 ㅋㅋ
10,호머심슨 이효리 톡톡톡 부를떄부터 알아봣음 너무웃김 ㅋ
10,진짜 웃기던데 ㅋㅋㅋ 스파이더 피그 ~ 스파이더 피그 ~
10,최고최고
7,너무 기대를해서그런지 그다지엿음 ㅋㅋ
8,전기톱에서 웃겨 돌아가시는줄 알았다...
1,아직 개봉도 안했는데 벌써부터 "평점"이 나는 이유는?
8,DON'T BE A NATIONAL.....약간의 문화차이 감수
9,심슨이 이렇게 재밌는 만환지 몰랐음ㅋㅋ
10,영어로 그냥 봤어도 너무너무 재밌는 심슨.ㅠㅠ
10,심슨가족을 1시간 반정도 쭉 볼 수 있었다는 것만으로도 10점
8,내용은 뭐 전형적이더래도 참 재밌다
10,난 역시 애니메이션중에선 심슨이 좋다 ^^ 변할수가 없겠네 ^^
6,이 사람들이 10점 주는 걸 너무 쉽게 생각하나 ..
10,아랫님과 동감...
10,아 극장에서볼껄... 너무 웃기다ㅋㅋ 만점
9,내용이 너무 길긴 했지만! 정말 보는내내 웃긴, 심슨가족 다운 유머!랄까ㅎ
8,좋다!!!!!!!!
10,영화 오프닝에 바트가 불법다운 하지 말라햇는데 해서 봐버렷네
5,그저 그랬음
6,30분이면완결지울수있는내용너무질질끌었다.(숨어있는풍자를모르면재미없는영화)
10,ㅋㅋ심슨이 이런거구나 어릴때는공감못했는데이제통한다
6,티비시리즈와 달라진 건 약간의 입체감뿐...
10,최고의웃음 최고의풍자 1시간20분동안 배꼽빠지게 웃엇다
10,완전 짱ㅋㅋㅋㅋ 스파이더 피그~ 스파이더피그~
10,역시심슨완전개웃어버렸어 하하하하
10,정말 예상대로 짱이다!
10,ㅋㅋㅋ 재밌음 재밌음
9,i wont illegally download this movie.ㅋ
8,풍자의 미학을 영화관에서
10,아진짜 보다가 웃겨죽는줄알았네
10,알라뷰 쉼슨 노란싹수 아죠씨 ㅋㅋ 알라뷰 정말잼씀 강추~~
7,아 심슨 조아
10,심슨 좋다 이효리 톡톡톡 으로 길거리 돈버는거 까주고싶다 ㅋㅌㅋ
10,심슨 만세!!
10,심슨은 역사상 최고의 만화다
9,볼만합니다~ 재미있음
10,모든 기록을 갈아치울 최고의 애니메이션★호머 이번에도 한껀하네!
10,진짜 최고!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
10,장담하건데 지루한부분 하나도 없음 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
6,특정부분만 잼있고 그닥..
10,심슨 드라마도 안보고 본건데 진짜 웃김
10,엔딩크레딧 끝까지 정말 재밌다 ㅋㅋ 최고!
9,한국인이 그린거라고 나온다.. 재밋다.
8,재밌네요 ㅋㅋ TV판 보단 안웃기지만 재밌음
7,기대이하 ㅠ.ㅜ
10,얘들이 심슨가족유머를 이해하겠남?
9,후반에 바삭바삭한 맛이 좀 떨어지지만 그래도 실망시키지 않는군.
10,넘 재밌어요 ㅋㅋ
10,재미있습니당 !
9,웃겨 ㅋ
10,최고! 정신없이 웃다가 끝나네요. 극장에서 한번더 볼겁니다.
7,가족영화의 전형...;;  4000원짜리영화
10,제임스.L.브룩스와 맷 그로닝은 진정한 천재다.진짜 천재다.
10,애니메이션의 웃음 핵폭탄 타이타닉, 스파이더맨, 해리포터 등등 따라하고
9,이정도인줄 알았다면 극장에서 볼걸.... dvd나 사야지
5,재밌고 유쾌하다 근데 왠지 나랑은 안맞아..
9,호머 심슨 정말 보는 내내 웃겨주는 사내....
7,TV판에 비하면 그다지.
7,심슨도 스크린보단 티비를 더좋아해.. 나도 그렇고
7,재밌다
10,LA에서 봤는데 역시나 패러디 작렬 ㅋㅋ 재밌어요 꼭 보시길...ㅋㅋ
10,재미있다ㅋ
6,뭐 그다지.. 심슨은 TV에 더 어울리는 것 같네요. 그래도 심슨팬으로써는 굿
10,아 마지막에 해피엔딩으로 끝나는줄 알았는데 웃음 주네  ㅎㅎㅎ
10,맘껏 웃을 수 있었다. 재치 넘치는 영화~
10,스파이더 피그는 물론.. 그린데이의 아메리칸 이디엇 장례식버전도 ㅋ
10,벌써 인터넷에 떴다ㅋ
9,스파이더피그 스파이더피그 볼만했음
10,심슨네가족 역시 재미있다 특히호머심슨 삶이 개그인것같다.
8,tv보다 더 뛰어나지도 못하지도 않았다. 그래도 심슨은 재미있다~ㅎ
10,영화중간에 한국어간판 텍사스 사투리 영어회화 강습 보고 웃음 ㅎ
9,간만에 재밌게 웃었음. 원작만화를 능가하는 화려한 유머! 완전재밌음..
9,재밌던데? 심슨특유의 건방진유머러스함이 가득하다.
6,글세 ................
8,즐겨보던 만화라..재미있게 봤다. 중간에 한국어 간판..넘 잼있어.
8,1,2점 주는 사람들은 심슨을 처음 보거나 나이가 어리거나 둘중 하나
9,유쾌상쾌한 심슨가족~~
8,역시 심슨은 막장 이다
1,충격과 공포다 그지깽깽이들아
10,ㅋㅋㅋㅋ한마디로 굿!
10,영화관에 가서 돈을 낼것이다.  중간 중간 보이는 기막힌 풍자들...
1,노란깽깽이들이 나에게 충격과 공포를 안겨준다.
10,전지전능하신 그분께 의문을 가질순 없겠지 <ㅡ ㅋㅋㅋㅋㅋㅋ
10,제 생각엔 이영화는 재미보다는 교훈적인것 같네요 ㅎㅎ good
4,재밌을줄 알았는데 이건뭐 초딩만화 디지몬 포켓몬 짱구만도 못하다..
10,중학교때부터 나이서른인 지금까지 심슨만큼은 꾸준히 보고있어요^^
10,정말 재밌다 패러디의 제왕 SimpSons 자질구레한 시트콤보다 재밌다
10,상큼한게 존나 웃긴다
10,한국이랑 관련된거 하나 나옵니다 .. 텍사스 사투리 영어 강희 ..
8,심슨처럼 웃기면 장땡이다. 과학적 논리? 훗...만화잖아
8,진짜 재밌어~완전 웃겨~좀 황당하지만 그래두 웃겨~ㅋㅋ
10,그린데이 나와요 ㅋㅋ
10,진짜 재밌었음 :) 한국은 늦게 개봉하는구나... ;ㅁ; 꼭 보세욤.
10,엔딩크래딧 나올때 메기의 첫목소리 나온다 ㅋㅋ 엔딩크래딧 보세요 ㅋㅋ
10,푸하 즐겁게 즐겨보세요 위트있고 장난끼 넘치는 풍자가 넘치는 구나
10,아 진짜 재밌다.
10,스파이더피그 ㅋㅋㅋㅋㅋ최고다최고 제일웃김
10,호수에 돼지똥버릴때 ㅋㅋ 다람쥐 괴물로 변신하는거도 웃김
10,역시 심슨가족!! 실망시키지 않는다
7,한국식유머에 길들여진 분이라면 피식웃을정도..심슨팬이라면 볼만함
10,정말잼있어요 역시 아직도 심슨은 최고
10,눈물 고일만큼 웃겼습니다. 여긴 미국 보스턴입니다.
7,심슨만의 유머, 가족애니
1,미국에서 지난주 에 봤는데 텔레비전 에피들보다 못하다, 쓰레기다
10,심슨가족 참 시끄러운데.. 관람객들이 더욱 시끌....
6,일본은 사자에상 미국은 심슨.둘다 그저그런 가족애니
7,기대보단 못하다. 하지만 즐길만 하다. 의외로 강도가 약한 교육용영화
5,알바들인가 ㅡ,.ㅡ 10점은무슨
10,오래될수록신선하다
10,재밌게 봤어요 ㅋㅋㅋ
10,아자미국에서 쓴다
10,웃겨죽는줄아랐음 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10,보고싶다
10,심슨은 아는사람만 웃지.ㅠㅠ
10,택사스 사투리 영어회화 강습..ㅋㅋㅋㅋ
10,심슨은 무조건 10점.
10,2번이나 봤는데도 안질리내요
10,진짜 재미있음 웃겨요 시작부터 ㅋㅋㅋ 캐나다에서 봄
9,또 보고 싶어지는 영화 ㅋ
9,ㅋㅋㅋ 웃겨서 눈물나는줄 알았다...역시 심슨
10,관람 내내 너무 웃어서 턱이 아프다.
10,구석구석 하나도 놓치지 말고 보시길...정말 세심하게 웃긴다...
10,보고싶다
10,심슨은 아는사람만 웃지.ㅠㅠ
10,택사스 사투리 영어회화 강습..ㅋㅋㅋㅋ
10,심슨은 무조건 10점.
10,2번이나 봤는데도 안질리내요
10,진짜 재미있음 웃겨요 시작부터 ㅋㅋㅋ 캐나다에서 봄
9,또 보고 싶어지는 영화 ㅋ
9,ㅋㅋㅋ 웃겨서 눈물나는줄 알았다...역시 심슨
10,관람 내내 너무 웃어서 턱이 아프다.
10,구석구석 하나도 놓치지 말고 보시길...정말 세심하게 웃긴다...
